,Distance Fraction,PCM Spv,co2 spv,minwool spv
0,0,-16.7675,19.20361523,19.20655269
1,0.052631579,-16.7662,19.21761815,19.22055095
2,0.105263158,-16.7623,19.2596194,19.2625382
3,0.157894737,-16.7558,19.32959334,19.33248872
4,0.210526316,-16.7468,19.4274868,19.43034918
5,0.263157895,-16.7351,19.55320405,19.55602366
6,0.315789474,-16.7209,19.70658692,19.70935373
7,0.368421053,-16.7041,19.88739103,19.89009471
8,0.421052632,-16.6847,20.09525964,20.0978895
9,0.473684211,-16.6628,20.32969637,20.33224134
10,0.526315789,-16.6385,20.59003845,20.59248704
11,0.578947368,-16.6118,20.87543203,20.87777232
12,0.631578947,-16.5827,21.18481104,21.18703068
13,0.684210526,-16.5514,21.51688101,21.51896726
14,0.736842105,-16.518,21.87010895,21.8720487
15,0.789473684,-16.4826,22.2427202,22.24450004
16,0.842105263,-16.4453,22.63270287,22.63430922
17,0.894736842,-16.4064,23.03782009,23.03923926
18,0.947368421,-16.366,23.45562989,23.45684827
19,1,-16.3244,23.88351231,23.88451653
